Employment;Unemployment;Average price;Price min;Wage average;Wage max;Savings;Total debt;Total firm cash;Deficit;Total money;Wage normalizes;Relative dead count;Unemployment share;Consumption propensity;Consumption budget;Sum production
0.473002;0.526998;0.977615;0.900005;0.97327;1;8322.84;8360.78;38.0092;1.95534;0;15940.5;0;0.527917;0.500468;8312.3;8514.04
0.4731;0.5269;0.977502;0.900005;0.973268;1;8320.81;8357.44;36.6252;5.80463;0;15944.2;0.000166667;0.527576;0.500443;8312.34;8515.8
0.473225;0.526775;0.977268;0.900005;0.973181;1;8321.81;8353.4;31.596;0;0;15941.4;0.000166667;0.522845;0.500447;8315.54;8518.05
0.473361;0.526639;0.976977;0.900005;0.97322;1;8321.68;8353.84;32.1589;0;0;15938.5;0.000166667;0.525005;0.500262;8311.41;8520.5
0.473427;0.526573;0.975695;0.900005;0.97269;1;8337.83;8370.14;32.3125;0;0;15939.9;0.000166667;0.520076;0.50009;8306.82;8521.69
0.473726;0.526274;0.974779;0.900005;0.972102;1;8356.83;8389.1;32.2624;0;0;15947.8;0.000166667;0.52187;0.499547;8305.97;8527.06
0.474039;0.525961;0.974273;0.900005;0.971659;1;8372.64;8404.76;32.1257;1.86225;0;15927.2;0.000222222;0.522629;0.499263;8311.12;8532.7
0.474438;0.525562;0.974033;0.900005;0.971336;1;8384.48;8414.79;30.3022;0;0;15988.1;0.000222222;0.518559;0.499247;8322.24;8539.88
0.474856;0.525144;0.974151;0.900005;0.97129;1;8389.19;8419.55;30.3537;3.87664;0;15976.8;0.000333333;0.51851;0.499299;8330.58;8547.41
0.475338;0.524662;0.974531;0.900005;0.971375;1;8396.17;8422.87;27.285;0.584301;0;15973.4;0.000222222;0.518147;0.49958;8344.8;8556.08
0.475853;0.524147;0.97516;0.900005;0.971678;1;8400.45;8427.18;26.7301;0;0;15978.2;0.000222222;0.517581;0.49982;8356.45;8565.36
0.47633;0.52367;0.975622;0.900005;0.971847;1;8402.67;8429.6;26.9375;0;0;15988.7;0.000222222;0.521641;0.500114;8368.41;8573.94
0.476804;0.523196;0.976017;0.900005;0.972011;1;8404.49;8431.56;27.0752;0;0;15994.6;0.000222222;0.517056;0.500281;8377.16;8582.47
0.477207;0.522793;0.976345;0.900005;0.972161;1;8404.31;8431.55;27.322;2.00946;0;16000.2;0.000222222;0.516416;0.500386;8383.49;8589.72
0.47754;0.52246;0.976591;0.900005;0.972267;1;8405.04;8430.51;25.4651;1.85212;0;16005.4;0.000277778;0.520681;0.500489;8389.52;8595.72
0.477855;0.522145;0.976755;0.900005;0.972385;1;8406.62;8430.36;23.8835;0.145094;0;16008.2;0.000222222;0.5184;0.500536;8394.3;8601.39
0.478101;0.521899;0.976813;0.900005;0.97252;1;8405.89;8429.69;23.7992;1.88036;0;16013.2;0.000277778;0.519129;0.500496;8395.83;8605.82
0.478307;0.521693;0.976656;0.900005;0.97251;1;8406.28;8428.31;22.3952;0.362609;0;16017;0.000222222;0.522199;0.500465;8397.93;8609.53
0.478483;0.521517;0.976381;0.900005;0.972492;1;8404.64;8426.85;22.9874;2.72005;0;16017.6;0.000166667;0.525828;0.500308;8395.32;8612.69
0.478576;0.521424;0.97525;0.900005;0.972028;1;8419.89;8440;20.3971;0.294025;0;16017.9;0.000111111;0.528159;0.50018;8392.87;8614.37
0.478841;0.521159;0.974312;0.900005;0.971479;1;8436.89;8456.73;19.8401;1.90662;0;16145.1;0.000166667;0.528579;0.499681;8390.76;8619.14
