Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
-0.000391495;-0.000469525;0.00181239;0.00189856;-0.00180585;-0.00189137
-0.000407101;-0.000248508;0.00180862;0.00188133;-0.0018021;-0.00187426
-0.000375382;5.07734e-05;0.00180583;0.00186678;-0.00179933;-0.00185983
-0.000290151;0.000293992;0.00180438;0.00185459;-0.0017979;-0.00184773
-0.000173323;0.000523857;0.00180311;0.00184455;-0.00179663;-0.00183776
-3.38866e-05;0.000473002;0.00180092;0.00183626;-0.00179445;-0.00182954
6.7491e-05;0.000433612;0.00178881;0.00182919;-0.00178244;-0.00182252
0.000140715;0.000330669;0.00178396;0.00182112;-0.00177762;-0.0018145
0.000178706;0.000247103;0.00177539;0.00181369;-0.00176911;-0.00180713
0.000192385;0.000123918;0.00176611;0.00180603;-0.0017599;-0.00179952
0.000178692;3.04416e-05;0.00175319;0.00179804;-0.00174706;-0.0017916
0.000149042;-0.000125621;0.00174556;0.00178907;-0.00173949;-0.00178269
9.41094e-05;-0.000258161;0.0017311;0.00178037;-0.00172512;-0.00177405
2.36553e-05;-0.000779415;0.00169181;0.00177052;-0.00168611;-0.00176426
-0.000136959;-0.00114478;0.00168982;0.00175477;-0.00168413;-0.00174863
-0.000338523;-0.000619922;0.00168565;0.00174178;-0.00167998;-0.00173573
-0.000394802;-0.000290287;0.00167974;0.00173056;-0.00167412;-0.00172458
-0.000373899;-6.53144e-05;0.00166718;0.00172039;-0.00166164;-0.00171449
-0.000312182;0.000215148;0.00166321;0.00170975;-0.00165769;-0.00170392
-0.000206716;0.000462515;0.0016563;0.00170044;-0.00165083;-0.00169467
-7.28699e-05;0.000490283;0.00163941;0.00169161;-0.00163405;-0.0016859
3.97606e-05;0.000434934;0.00163858;0.00168117;-0.00163323;-0.00167553
0.000118795;0.000404479;0.00162927;0.00167265;-0.00162398;-0.00166707
0.000175932;0.000322772;0.0016287;0.00166398;-0.00162341;-0.00165845
0.0002053;0.000234293;0.0016283;0.00165692;-0.00162301;-0.00165145
0.000211099;0.000162996;0.00162454;0.0016512;-0.00161927;-0.00164576
0.000201478;3.6487e-05;0.00162408;0.00164586;-0.00161882;-0.00164046
0.00016848;-9.74373e-05;0.00161754;0.00164151;-0.00161232;-0.00163613
0.000115296;-0.000269164;0.00153157;0.00163671;-0.0015269;-0.00163137
3.84042e-05;-0.000459181;0.00152836;0.00161569;-0.0015237;-0.00161048
-6.11128e-05;-0.0012988;0.00152426;0.00159822;-0.00151963;-0.00159312
-0.000308651;-0.000770484;0.00151988;0.00158343;-0.00151527;-0.00157842
-0.000401018;-0.000420689;0.00151396;0.00157072;-0.00150939;-0.00156579
-0.000404952;-0.000145651;0.0015046;0.00155937;-0.00150009;-0.00155451
-0.000353092;0.000156186;0.00149909;0.00154841;-0.00149461;-0.00154363
