Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
1.2751e-05;0.000535671;0;7.4325e-10;0;-7.43074e-10
0.000117335;0.000450393;0;5.946e-10;0;-5.94459e-10
0.000183947;0.000449709;0;4.7568e-10;0;-4.75567e-10
0.000237099;0.00035504;0;3.80544e-10;0;-3.80454e-10
0.000260687;0.000271545;0;3.04435e-10;0;-3.04363e-10
0.000262859;0.000198198;0;2.43548e-10;0;-2.4349e-10
0.000249926;0.000116904;0;1.94838e-10;0;-1.94792e-10
0.000223322;1.66461e-05;0;1.55871e-10;0;-1.55834e-10
0.000181987;-0.000117384;0;1.24697e-10;0;-1.24667e-10
0.000122113;-0.000257797;0;9.97573e-11;0;-9.97337e-11
4.61307e-05;-0.000654772;0;7.98058e-11;0;-7.97869e-11
-9.40499e-05;-0.00125874;0;6.38447e-11;0;-6.38296e-11
-0.000326987;-0.000705765;0;5.10757e-11;0;-5.10636e-11
-0.000402743;-0.000289906;0;4.08606e-11;0;-4.08509e-11
-0.000380175;1.30192e-05;0;3.26885e-11;0;-3.26807e-11
-0.000301536;0.000389094;0;2.61508e-11;0;-2.61446e-11
-0.00016341;0.000602114;0;2.09206e-11;0;-2.09157e-11
-1.03054e-05;0.000538155;0;1.67365e-11;0;-1.67325e-11
9.93868e-05;0.000510143;0;1.33892e-11;0;-1.3386e-11
0.000181538;0.000456311;0;1.07114e-11;0;-1.07088e-11
0.000236493;0.000386025;0;8.56908e-12;0;-8.56706e-12
0.000266399;0.000324411;0;6.85527e-12;0;-6.85365e-12
0.000278001;0.000188076;0;5.48421e-12;0;-5.48292e-12
0.000260016;0.000155736;0;4.38737e-12;0;-4.38633e-12
0.00023916;4.49508e-05;0;3.5099e-12;0;-3.50907e-12
0.000200318;8.79785e-07;0;2.80792e-12;0;-2.80725e-12
0.000160431;-0.000111207;0;2.24633e-12;0;-2.2458e-12
0.000106103;-0.000221611;0;1.79707e-12;0;-1.79664e-12
4.05604e-05;-0.000546427;0;1.43765e-12;0;-1.43731e-12
-7.6837e-05;-0.00139984;0;1.15012e-12;0;-1.14985e-12
-0.000341437;-0.000707738;0;9.20098e-13;0;-9.19881e-13
-0.000414697;-0.000303092;0;7.36079e-13;0;-7.35905e-13
-0.000392376;6.85433e-05;0;5.88863e-13;0;-5.88724e-13
-0.000300192;0.000390711;0;4.7109e-13;0;-4.70979e-13
-0.000162011;0.000633157;0;3.76872e-13;0;-3.76783e-13
-2.9777e-06;0.000555938;0;3.01498e-13;0;-3.01427e-13
0.000108805;0.000568583;0;2.41198e-13;0;-2.41141e-13
0.000200761;0.00044731;0;1.92959e-13;0;-1.92913e-13
0.000250071;0.000402774;0;1.54367e-13;0;-1.5433e-13
0.000280611;0.000335461;0;1.23494e-13;0;-1.23464e-13
0.000291581;0.000295449;0;9.87948e-14;0;-9.87715e-14
0.000292355;0.000205756;0;7.90359e-14;0;-7.90172e-14
0.000275035;0.00013563;0;6.32287e-14;0;-6.32137e-14
0.000247154;5.4187e-05;0;5.05829e-14;0;-5.0571e-14
0.000208561;1.70794e-05;0;4.04664e-14;0;-4.04568e-14
0.000170264;-8.89553e-05;0;3.23731e-14;0;-3.23654e-14
0.00011842;-0.0001736;0;2.58985e-14;0;-2.58923e-14
6.00163e-05;-0.000245425;0;2.07188e-14;0;-2.07139e-14
-1.07198e-06;-0.00132503;0;1.6575e-14;0;-1.65711e-14
-0.000265863;-0.000970813;0;1.326e-14;0;-1.32569e-14
-0.000406853;-0.000415479;0;1.0608e-14;0;-1.06055e-14
-0.000408578;-2.99056e-05;0;8.48641e-15;0;-8.4844e-15
-0.000332844;0.000318987;0;6.78913e-15;0;-6.78752e-15
-0.000202478;0.000632886;0;5.4313e-15;0;-5.43002e-15
-3.54048e-05;0.000642036;0;4.34504e-15;0;-4.34401e-15
0.000100083;0.000584061;0;3.47603e-15;0;-3.47521e-15
0.000196879;0.000535405;0;2.78083e-15;0;-2.78017e-15
